squadra,categoria,nome_forum,analisi_forum,player_id
ATA,CONSIGLIATO,EDERSON,"Una manna dal cielo la sua mancata cessione allo Utd. In questo nuovo schema tattico potrebbe esaltarsi ed essere un eccellente pescata a prezzi ""stracciati"" rispetto ad altri strapagati. Va ancora vista la composizione finale del cc Atalanta ma ad oggi e pure a domani ( ) lui sarà un punto fermo di questa squadra. Avrà titolarità garantita salvo turn over o infortuni, ha le caratteristiche (già dimostrate in mezza stagione di Salernitana) per portare bonus che in una squadra abbastanza offensiva non è malaccio, quando in campo avrà ALMENO la sufficienza assicurata e non verrà mai pagato quanto i top anche se a nostro avviso il suo rendimento potrebbe non discostarsi troppo dal loro. Insomma, quest'anno il brasiliano va preso, senza se e senza ma!",5792
ATA,POSSIBILE SORPRESA,CARNESECCHI,"Avrebbe tutte le carte in regola per potersi riconfermare ad alti livelli (lo scorso anno secondo portiere per MV dietro a Falcone e secondo portiere per FM dietro solo a Milinkovic Savic che però ha 11 partite in meno giocate) l'unica cosa che ci fa titubare dal metterlo tra i consigliati è il prezzo che potrebbe raggiungere in fase d'asta. Per noi avrebbe tutte le carte in regola per fare un pò come Svilar degli ultimi due anni e cioè mantenere bene o male gli stessi numeri (Svilar24/25 MV6,32 - FM5,38, Svilar 25/26 MV6,26 - FM5,45). Per questo motivo non abbiamo voluto alzare gli indici rispetto alla scheda dell'anno passato. Le incertezze che però ci sono (in particolare) quest'anno sui top portieri o presunti tali, ci lasciano pensare che anche il prezzo di porta Atalanta potrebbe essere troppo rispetto alla resa che comunque potrebbe avere. In parole povere, Carnesecchi che viene snobbato o che non va ai prezzi di portaJuve/Inter/Napoli o quella che vedete meglio scegliete voi, si prende ad occhi chiusi, perchè farà ancora bene sicuramente sotto il profilo delle parate. Igol secondo noi saranno ancora simili (35 lo scorso anno e 34 quello prima) all'inizio non sarà facile per i difensori assimilare gli schemi del nuovo mister e della nuova disposizione tattica e quindi qualche gol in più me lo aspetto, ma una volta trovata la quadra torneranno i voti da mod e i CS. Insomma, puntateci ma ad una certa somma il gioco potrebbe non valere più la candela, i big strapagati dello scorso anno insegnano!",4431
ATA,POSSIBILE SORPRESA,SCAMACCA,Senza gli infortuni sarebbe un top di reparto al pari di Malen e Lautaro purtroppo però questi ci sono sempre stati e probabilmente continueranno ad esserci nonostante il Mister abbia dichiarato che punta a far fare più partite possibili Zano a Scamacca. Per quanto visto finora sarebbe da sconsigliare ma crediamo sia solo un periodo dove deve capire i nuovi compiti che gli richiede il Mister rispetto al passato la sua tecnica non si discute anche se fosse in un contesto non suo più poco più di 10 goal sono ampiamente alla sua portata. dovesse poi essere confermato rigorista guadagnerebbe ancora più appeal sperando che la salute lo assista potremmo avere un semi top in attacco senza pagarlo da tale. Noi per uno Scamacca che si porta comunque qualche incognita fisica dietro arriveremmo anche ad un 20% di budget non è poco ma per la quantità di bonus che ha nelle corde il prezzo è ragionevole. Questo è il nostro personale prezzo in base alla vostra paura sul suo rischio infortuni calate o aumentate la percentuale in base alle vostre sensazioni resta comunque uno dei migliori attaccanti di questa serie A.,2137
ATA,SCONSIGLIATO,KOLASINAC,"Con Kola hai la certezza che se gioca lo fa sempre bene, il problema sarà capire se Sarri lo farà giocare. La sua duttilità è certamente un arma a suo vantaggio ma per entrambi i suoli che può coprire (DC ed TS) c'è molta concorrenza: Bernasconi ed Ahanor magari non saranno migliori di lui (probabilmente però si visto che il bosniaco non è più di primo pelo e non ce lo vedo benissimo a correre sulla fascia, ma magari con dei compiti molto più difensivi può ancora dire la sua) ma certamente ci sono tutti gli interessi per valorizzarli e dare loro più minutaggio possibile rispetto a chi è a fine carriera, io credo che al massimo, li ci possa giocare in conference ma resto titubante anche su questo. Come centrale ( l'unica volta che lo ha avuto a disposizione il mister lo ha usato li) ci sono comunque HIen, Scalvini, Djimsiti, Kossonou e forse anche Obric che gli contendono il posto, non sarà per niente facile per lui ritagliarsi un pò di posto quindi anche per voi vi diciamo che per Kola, già 1, potrebbe essere troppo rischioso",2640
ATA,SCONSIGLIATO,DE ROON,"E' sempre stato l'eccellenza del tappabuchi modello, con l'inizio della nuova stagione però questo status decennale è a rischio. Con Gaetano specifica richiesta del mister e forse un nuovo innesto ancora in quella posizione abbiamo paura che il voto non sarà più così sempre scontato e difficili da prevedere. Se in più ci aggiungiamo che un posto sarà certamente di Ederson nei 3 a metà, va da se che per l'ultimo posto se la giocano in troppi e lui non è nemmeno tra i più papabili da schierare li.. Quindi potete tirare le somme anche voi sulla sua appetibilità, che diventa molto più bassa rispetto al passato",22
BOL,CONSIGLIATO,ROWE,"La scelta sul consigliato, per chi ha visto effettivamente le partite del Bologna la scorsa stagione, non può che ricadere sul funambolo inglese. Tante le motivazioni per cui vi invitiamo a considerarlo nella vostra batteria, specialmente se come ci aspettiamo venisse rimesso tra i centrocampisti. La più ovvia è che parliamo di un giocatore fuori categoria per gli standard della piazza, con un passo diverso ed una capacità di saltare l'uomo assai rara nella nostra massima serie. La seconda è che potrebbe beneficiare della presenza di una punta d'appoggio e di presenza in area, che gli permetta di andare al tiro e/o di regalare diversi assist. L'ultima è che l'assenza di coppe dovrebbe permettergli di rifiatare maggiormente, anche se nella scorsa stagione non che ce ne fosse stato granchè bisogno. Chiaramente non parliamo di un top assoluto di reparto, complice anche qualche possibile 'mattata' se i difensori avversari lo prendessero di mira, ma di un esterno estremamente forte con le potenzialità per diventare tale in questa stagione.",6844
BOL,POSSIBILE SORPRESA,HELLAND,"Arrivato a Gennaio, peraltro dopo averlo affrontato nelle nottate europee, il giovane Eivind ha già mostrato qualche sprazzo di ottimo calcio nel finale della scorsa stagione. Se da una parte Heggem si dedica più alla legna che all'impostazione, dall'altra il ragazzotto alto 1.96 sembra avere delle ottime doti di lettura e di costruzione dal basso. Certo, prima di raccogliere quella che sarà l'eredità di Lucumì ce ne vorrà di tempo, e comunque c'è un Vitik che scalpita dopo una stagione con più luci che ombre, tuttavia ci sono grandi potenzialità e sotto sotto una futuribile coppia di giganti norvegesi titolari un po' gasa.",7326
BOL,POSSIBILE SORPRESA,BERNARDESCHI,"Promozione per Bernardeschi rispetto allo scorso anno, dove un po' severamente lo avevamo colorato di rosso. Complice i periodi di calo di Orsolini, l'anno scorso si è affermato per alcuni tratti il titolare della fascia dx, portando in dote un buon score finale complessivo di gol e assist. Quest'anno non ci sono le coppe ed il talentino di Carrara andrà verso le 33 primavere, ciononostante sembra aver ritrovato una buona dimensione in quel di Bologna, con una ottima tenuta fisica. Va considerato che la concorrenza è alta sia sulla trequarti che sull'esterno, ma Tedesco lo ha provato anche come mezz'ala associativa con buoni risultati nella preparazione. Ed in assenza di Orsolini dovrebbe essere il rigorista designato. Scommessa che può valere una manciata di crediti.",184
BOL,POSSIBILE SORPRESA,DOVBYK,"Arrivato in maniera forse inaspettata, di fatto a sostituire il toto Castro come punta titolare dei rossoblu. Parliamo di un calciatore non più giovanissimo ma nemmeno espertissimo di campionato italiano dopo due stagioni a Roma con più ombre di luci. Sappiamo che Tedesco lo avesse cercato già quando era in Turchia e lo stima, avendolo convinto della destinazione nonostante l'assenza delle coppe. Come inquadrarlo quindi? Viene da una stagione tribolata per via degli infortuni, ma la società ha avuto ampie rassicurazioni sulla sua tenuta fisica. Sa sicuramente fare gol, altrimenti non avrebbe comunque portato a casa 14 centri alla prima stagione italiana, senza dimenticare il titolo di capocannoniere l'anno precedente nella Liga spagnola. La nostra impressione è che, SE riesce a riprendersi fisicamente e soprattutto mentalmente, potremmo rivedere un bomber d'area che sotto le due torri manca da tantissimo tempo. Non va tuttavia dimenticato che la società possa liberarsi di Dallinga per affiancargli un profilo pronto in modo da costruire una coppia valida per una stagione competitiva. Non è un profilo su cui fare pazzie, vale la spesa di un potenziale terzo slot con la doppia cifra alla portata, senza spingersi verso cifre che si riservano a centravanti di squadre di medio-bassa classifica con meno incognite e titolarità assicurata.",6675
BOL,SCONSIGLIATO,ZORTEA,"Una delle più grandi delusione della scorsa stagione, anche in virtù della spesa che i rossoblu hanno esercitato per prelevarlo a titolo definitivo dal Cagliari. Forse non proprio a suo agio nella difesa a 4, in più occasioni è sembrato pestarsi ai piedi con Orsolini quando si affacciava davanti, e disattento quando si trovava a difendere. Non verrà fatto cadere nel dimenticatoio, ma al momento risulta difficile consigliarne l'acquisto, anche in virtù del ballottaggio serrato che si può aspettare con Holm (o suo sostituto).",4433
